id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes,malicious_intent_preserved,realistic_for_context,non_trivial_mutation,overall_quality_score,keep,reason,backend,status
57,SELECT * FROM orders WHERE status = 'ACTIVE' AND 1=0 OR 1=1 --' OR SLEEP(5) OR '1'='1,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'ACTIVE' AND 1=0 OR 1=1 --' OR SLEEP(5) OR '1'='1' ORDER BY date DESC,product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent by maintaining the SQL injection pattern, is realistic for a product filter context, and shows a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
58,SELECT * FROM orders WHERE status = 'PENDING' AND EXTRACT(HOUR FROM NOW()) > 0 /*',SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'PENDING' AND EXTRACT(HOUR FROM NOW()) > 0 /*'' ORDER BY date DESC,product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
59,"SELECT * FROM orders WHERE status = 'SHIPPED' AND BENCHMARK(1000000,CRC32(RAND())) --'","SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'SHIPPED' AND BENCHMARK(1000000,CRC32(RAND())) --'' ORDER BY date DESC",product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of injecting a SQL query by adding a malicious comment and modifying the order by clause, while being realistic for a product filter context. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
60,;/**/SLEEP(5);--,"INSERT INTO comments (user_id, body) VALUES (1, ';/**/SLEEP(5);--')",profile_update,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a profile update context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
61,';-- WAITFOR DELAY '00:00:05' --,"INSERT INTO comments (user_id, body) VALUES (1, '';-- WAITFOR DELAY '00:00:05' --')",profile_update,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of injecting a blind time delay, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
62,"/*
TIME_WAIT('5')
*/;WAITFOR DELAY '00:00:05'--","INSERT INTO comments (user_id, body) VALUES (1, '/*
TIME_WAIT('5')
*/;WAITFOR DELAY '00:00:05'--')",profile_update,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of injecting a time-wait delay in a blind SQL injection attack, is realistic for a profile_update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
63,; DROP TABLE IF EXISTS users; --,SELECT * FROM users WHERE username = '; DROP TABLE IF EXISTS users; --' AND password = 'anything',login,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of executing a stacked query, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
64,"'; CREATE TABLE hackers (id INTEGER PRIMARY KEY, name TEXT); --","SELECT * FROM users WHERE username = ''; CREATE TABLE hackers (id INTEGER PRIMARY KEY, name TEXT); --' AND password = 'anything'",login,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
65,"--; INSERT INTO users (username, password) VALUES ('admin', 'admin');","SELECT * FROM users WHERE username = '--; INSERT INTO users (username, password) VALUES ('admin', 'admin');' AND password = 'anything'",login,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of executing a stacked query, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
66,; DROP TABLE users; --,SELECT * FROM products WHERE name LIKE '%; DROP TABLE users; --%',search,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a malicious SQL injection attack that is realistic for a search context, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
67,; SELECT * FROM users WHERE username = 'admin' AND password = 'anything'; //,SELECT * FROM products WHERE name LIKE '%; SELECT * FROM users WHERE username = 'admin' AND password = 'anything'; //%',search,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of stacking queries, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
68,'; DROP DATABASE database_name;--,SELECT * FROM products WHERE name LIKE '%'; DROP DATABASE database_name;--%',search,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of executing stacked queries while being contextually realistic for a search operation, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
69,; DROP TABLE users;,SELECT * FROM users WHERE id = ; DROP TABLE users;,id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a stacked query attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
70,"--
SELECT id FROM users --","SELECT * FROM users WHERE id = --
SELECT id FROM users --",id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample demonstrates a stacked query attack with a meaningful mutation from the seed, maintaining malicious intent and relevance to the id_lookup context. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
71,/*malicious*/ ; DELETE FROM users;,SELECT * FROM users WHERE id = /*malicious*/ ; DELETE FROM users;,id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,The candidate sample maintains the malicious intent of stacking queries and is realistic for an id_lookup context with non-trivial mutation. Rejected by hard rule because syntax_valid or sandbox_malicious is false.,ollama_local+rules,ok
72,; DROP TABLE users --,SELECT * FROM orders WHERE status = '; DROP TABLE users --' ORDER BY date DESC,product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,The candidate sample maintains the malicious intent of stacking queries and is realistic for a product filter context with non-trivial mutation. Rejected by hard rule because syntax_valid or sandbox_malicious is false.,ollama_local+rules,ok
73,"; DELETE FROM orders;
--","SELECT * FROM orders WHERE status = '; DELETE FROM orders;
--' ORDER BY date DESC",product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of executing stacked queries, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
74,--'; INSERT INTO logs VALUES ('hack');--,SELECT * FROM orders WHERE status = '--'; INSERT INTO logs VALUES ('hack');--' ORDER BY date DESC,product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of injecting a stacked query while being contextually relevant to the product_filter scenario, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
75,SELECT * FROM users; DROP TABLE comments; --,"INSERT INTO comments (user_id, body) VALUES (1, 'SELECT * FROM users; DROP TABLE comments; --')",profile_update,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,The candidate sample is a stacked query attack that maintains its malicious intent and is realistic for a profile update context with non-trivial mutation. Rejected by hard rule because syntax_valid or sandbox_malicious is false.,ollama_local+rules,ok
76,--'; DELETE FROM sessions; --,"INSERT INTO comments (user_id, body) VALUES (1, '--'; DELETE FROM sessions; --')",profile_update,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of executing a stacked query, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
77,"/* SQL Injection */; SELECT username, password FROM admin","INSERT INTO comments (user_id, body) VALUES (1, '/* SQL Injection */; SELECT username, password FROM admin')",profile_update,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack while being a meaningful mutation of the seed sample, representing a realistic attack scenario in the profile_update context. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
78,SELECT * FROM users WHERE username = 'admin' /*--*/ AND password = 'admin',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' /*--*/ AND password = 'admin'' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack by using a comment obfuscation technique, while being realistic for a login context and showing non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
79,SELECT * FROM users WHERE username = 'admin' #AND password = 'admin',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' #AND password = 'admin'' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
80,SELECT * FROM users WHERE username = 'admin' AND (/*')) */ password = 'admin';,SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' AND (/*')) */ password = 'admin';' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent by maintaining the SQL injection attack pattern, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
81,/**/SELECT%20*%20FROM%20products%20WHERE%20name%20LIKE%20'%E2%9C%94%E2%9C%94',SELECT * FROM products WHERE name LIKE '%/**/SELECT%20*%20FROM%20products%20WHERE%20name%20LIKE%20'%E2%9C%94%E2%9C%94'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of injecting a SQL query through obfuscation, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
82,--+SELECT+*+FROM+products+WHERE+name+LIKE+'%%',SELECT * FROM products WHERE name LIKE '%--+SELECT+*+FROM+products+WHERE+name+LIKE+'%%'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack by introducing a malicious comment obfuscation, while being realistic for a search context. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
83,#SELECT * FROM products WHERE name LIKE '/*%',SELECT * FROM products WHERE name LIKE '%#SELECT * FROM products WHERE name LIKE '/*%'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of injecting SQL through comment obfuscation, is realistic for a search context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
84,--' OR '1'='1,SELECT * FROM users WHERE id = --' OR '1'='1,id_lookup,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
85,/**/1=1,SELECT * FROM users WHERE id = /**/1=1,id_lookup,true,true,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview,True,True,True,4,True,"The candidate sample preserves the malicious intent of a SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed.",ollama_local+rules,ok
86,SELECT * FROM orders WHERE status = '/*' OR '1'='1' /*' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '/*' OR '1'='1' /*' ORDER BY date DESC' ORDER BY date DESC,product_filter,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of injecting SQL by using comment obfuscation, is realistic for a product filter context, and shows a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
87,SELECT * FROM orders WHERE status = '--' OR 1=1 --' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '--' OR 1=1 --' ORDER BY date DESC' ORDER BY date DESC,product_filter,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of SQL injection through a comment obfuscation technique, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
88,SELECT * FROM orders WHERE status = '#' OR 1=1 #' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '#' OR 1=1 #' ORDER BY date DESC' ORDER BY date DESC,product_filter,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of SQL injection through a non-trivial mutation that preserves the context and syntax, making it realistic for a product filter scenario. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
89,--' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '--' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of SQL injection through the use of '--' OR '1'='1' in the context of a profile update, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
90,#' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '#' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,The candidate sample preserves the malicious intent of SQL injection through a non-trivial mutation that maintains the context of a profile update while being distinguishable from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.,ollama_local+rules,ok
91,/**/' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '/**/' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of SQL injection through the use of a comment obfuscation technique, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
92,%27+OR+1=1;--,SELECT * FROM users WHERE username = '%27+OR+1=1;--' AND password = 'anything',login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of an SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
93,%65%78%61%6D%70%6C%65+%72%65%61%64(%27+OR+1=1;),SELECT * FROM users WHERE username = '%65%78%61%6D%70%6C%65+%72%65%61%64(%27+OR+1=1;)' AND password = 'anything',login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for a login context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
94,"UNION+SELECT+NULL,+username+FROM+users+WHERE+1=1","SELECT * FROM users WHERE username = 'UNION+SELECT+NULL,+username+FROM+users+WHERE+1=1' AND password = 'anything'",login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack while being contextually relevant to a login scenario, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
95,%25' OR '1'='1,SELECT * FROM products WHERE name LIKE '%%25' OR '1'='1%',search,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
96,"' OR ASCII(SUBSTRING(username,1,1))=116 --","SELECT * FROM products WHERE name LIKE '%' OR ASCII(SUBSTRING(username,1,1))=116 --%'",search,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of an SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
97,%23SELECT+*+FROM+users+WHERE+id+%3D+'admin',SELECT * FROM users WHERE id = %23SELECT+*+FROM+users+WHERE+id+%3D+'admin',id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
98,SELECT+*+FROM+users+WHERE+id=CHAR(97)+||+CHAR(98)+||+CHAR(100),SELECT * FROM users WHERE id = SELECT+*+FROM+users+WHERE+id=CHAR(97)+||+CHAR(98)+||+CHAR(100),id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for an id_lookup context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
99,/*SELECT*/+*+FRom+usErS+wHeRe+iD+/**/=/**/'a',SELECT * FROM users WHERE id = /*SELECT*/+*+FRom+usErS+wHeRe+iD+/**/=/**/'a',id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for an ID lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
100,%27--,SELECT * FROM orders WHERE status = '%27--' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of encoding a SQL injection payload, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
101,%60;/**/,SELECT * FROM orders WHERE status = '%60;/**/' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of encoding a malicious string within a SQL query, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
102,CHAR(39)%0A,SELECT * FROM orders WHERE status = 'CHAR(39)%0A' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of encoding a malicious string within quotes, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
103,"%27+UNION+SELECT+NULL,+body+FROM+users--","INSERT INTO comments (user_id, body) VALUES (1, '%27+UNION+SELECT+NULL,+body+FROM+users--')",profile_update,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of an SQL injection attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
104,"CHAR(45)-*UNION+SELECT+email,+password+FROM+admin/*","INSERT INTO comments (user_id, body) VALUES (1, 'CHAR(45)-*UNION+SELECT+email,+password+FROM+admin/*')",profile_update,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,The candidate sample preserves the malicious intent of encoding obfuscation while maintaining realistic context for a profile_update scenario with non-trivial mutation. Rejected by hard rule because syntax_valid or sandbox_malicious is false.,ollama_local+rules,ok
105,SELECT * FROM users WHERE username = '' OR '1'='1',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = '' OR '1'='1'' AND password = 'anything',login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a nested SQL injection attack, is realistic for a login context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
106,SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything'' AND password = 'anything',login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a nested SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
107,"SELECT * FROM users WHERE username IN ('admin', (SELECT 'x'))","SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username IN ('admin', (SELECT 'x'))' AND password = 'anything'",login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a nested SQL injection attack, is realistic for a login context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
108,;select * from users where username like '%' --,SELECT * FROM products WHERE name LIKE '%;select * from users where username like '%' --%',search,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a nested SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
109,' OR EXISTS(SELECT 1 FROM orders),SELECT * FROM products WHERE name LIKE '%' OR EXISTS(SELECT 1 FROM orders)%',search,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a nested SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
110,'; DROP TABLE IF EXISTS backups;--,SELECT * FROM products WHERE name LIKE '%'; DROP TABLE IF EXISTS backups;--%',search,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of nested SQL injection, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
